Style,Yarn,Percentage,This Week,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Later,Total
FF 10008/0005C,11697,1.8,,,,,,,,,,,0.0
FF 10008/0005C,11759,2.8,,,,,,,,,,,0.0
FF 10008/0005C,18343,32.2,,,,,,,,,,,0.0
FF 10008/0009A,11697,1.8,0.1,,,,,,,,,,0.1
FF 10008/0009A,11759,2.8,0.2,,,,,,,,,,0.2
FF 10008/0009A,18414,32.2,1.7,,,,,,,,,,1.7
FF 10008/0010C,11697,1.8,,,,,,,,,,,0.0
FF 10008/0010C,11759,2.8,,,,,,,,,,,0.0
FF 10008/0010C,18414,32.2,,,,,,,,,,,0.0
FF 10008/0011C,11697,1.8,9.4,,,,,,,,,,9.4
FF 10008/0011C,11759,2.8,14.7,,,,,,,,,,14.7
FF 10008/0011C,18414,32.2,169.0,,,,,,,,,,169.0
FF 10008/0014C,11697,1.8,5.4,,,,,,,,,,5.4
FF 10008/0014C,11759,2.8,8.4,,,,,,,,,,8.4
FF 10008/0014C,18414,32.2,96.6,,,,,,,,,,96.6
FF25002/0008A,14061,1.2,1.8,,,,,,,,,,1.8
JB38/2,18703,100,"9,086.3","2,416.6",,,,,,,,,"11,502.9"
JC24/1,7716,100,292.7,,,,,,,,,,292.7
JC24/4,19045,100,,,,,,706.1,"2,493.9",,"2,589.2","4,610.8","10,400.0"
KBDU600K/0,18850,50,444.0,,,,,,,,,,444.0
KBDU600K/0,18863,50,444.0,,,,,,,,,,444.0
KBDU602C/0,18851,50,936.0,648.0,,,,,,,,,"1,584.0"
KBDU602C/0,18864,50,936.0,648.0,,,,,,,,,"1,584.0"
